# Pathway lesson inventory by nursing tier (RN / PN·RPN / NP)
# Generated from getEffectiveCatalogLessonsForPathwaySync — same bundle + filters as public lesson hubs.
# Columns: topicSlug | bodySystem | slug | title | audienceTiers (if any)

========== RN ==========

--- ca-rn-nclex-rn (NCLEX-RN) — 146 lessons ---
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — nursing implications (NCLEX-RN, Canada)
endocrine | Endocrine | np-thyroid-primary-care-gold | Thyroid disorders: primary care (WHNP, US)
geriatrics | General | np-geriatrics-polypharmacy-deprescribing-gold | Polypharmacy & deprescribing (WHNP, US — women’s-health primary care)
infectious-disease | Infectious disease | np-antiinfectives-stewardship-outpatient-gold | Anti-infectives & stewardship (WHNP, US)
mental-health | Psychiatric | np-mental-health-anxiety-depression-ptsd-gold | Anxiety, depression & PTSD (WHNP, US)
musculoskeletal | Musculoskeletal | np-msk-rheumatology-outpatient-gold | MSK & rheumatology: outpatient care (WHNP, US)
neurological | Neurological | np-neurology-outpatient-primary-care-gold | Outpatient neurology triage (WHNP, US)
pediatrics | Immune | np-immunization-vaccines-primary-care-gold | Immunization & vaccines (WHNP, US)
pediatrics | General | np-pediatric-well-child-prevention-gold | Pediatric well-child & prevention (WHNP, US)
respiratory | Respiratory | np-asthma-outpatient-gold | Asthma: outpatient management (WHNP, US)
respiratory-acute | Respiratory | np-pneumonia-cap-outpatient-gold | Community-acquired pneumonia: outpatient judgment (WHNP, US)
sleep-medicine | Neurological | np-sleep-insomnia-osa-primary-care-gold | Sleep: insomnia, OSA & RLS (WHNP, US)
womens-health | Reproductive | np-ambulatory-gynec-common-presentations-gold | Women’s health depth: ambulatory gynec — AUB, pelvic pain, vaginitis, and urgent triage (WHNP, US)
womens-health | Reproductive | np-reproductive-screening-prevention-gold | Women’s health depth: cervical & breast screening, HPV pathways, and prevention counseling (WHNP, US)
